"animal_id","species","sex","litter_size","mother_father_same","age","month_born"
"0001","Northern greater galago","F",NA,NA,7.7013698630137,1
"0002","Northern greater galago","M",NA,NA,3.92876712328767,1
"0003","Northern greater galago","M",1,1,0.0164383561643836,7
"0004","Northern greater galago","M",1,1,5.93972602739726,4
"0005","Northern greater galago","M",1,1,15.4657534246575,8
"0006","Northern greater galago","F",1,1,13.5890410958904,3
"0007","Northern greater galago","M",NA,NA,7.54794520547945,1
"0008","Northern greater galago","F",1,1,5.37808219178082,7
"0009","Northern greater galago","M",1,1,10.3808219178082,9
"0010","Northern greater galago","M",1,1,13.4630136986301,5
"0011","Northern greater galago","M",1,1,4.62191780821918,10
"0012","Northern greater galago","M",1,1,3.59452054794521,5
"0013","Northern greater galago","M",1,1,6.17260273972603,12
"0014","Northern greater galago","F",1,1,NA,10
"0015","Northern greater galago","F",1,1,6.3972602739726,6
"0016","Northern greater galago","F",1,1,3.21095890410959,5
"0017","Northern greater galago","F",1,1,NA,6
"0018","Northern greater galago","M",1,1,NA,3
"0019","Northern greater galago","F",1,NA,1.69315068493151,7
"0020","Northern greater galago","M",1,NA,0.120547945205479,7
"0021","Northern greater galago","M",1,1,NA,12
"0022","Northern greater galago","M",1,NA,0.0191780821917808,5
"0023","Northern greater galago","F",1,1,NA,9
"0024","Northern greater galago","F",1,1,NA,4
"0025","Northern greater galago",NA,1,1,0,5
"0026","Northern greater galago","M",1,NA,1.66575342465753,6
"0027","Northern greater galago","M",1,1,0.482191780821918,7
"0028","Northern greater galago","F",1,1,0.684931506849315,10
"0029","Northern greater galago","M",1,NA,NA,2
"0030","Collared brown lemur","F",NA,NA,5.55068493150685,10
"0031","Collared brown lemur","M",1,1,0,2
"0032","Collared brown lemur",NA,1,1,0,4
"0033","Collared brown lemur","M",1,1,0,2
"0034","Collared brown lemur",NA,1,1,0,2
"0035","Eulemur hybrid","M",1,0,0,4
"0036","Eulemur hybrid","F",1,0,0,3
"0037","Eulemur hybrid","F",1,0,0.172602739726027,4
"0038","Common brown lemur",NA,2,1,0,4
"0039","Common brown lemur",NA,2,1,0,4
"0040","Eulemur hybrid","F",1,0,0.241095890410959,5
"0041","Eulemur hybrid","F",1,0,0,5
"0042","Eulemur hybrid","F",1,0,0,2
"0043","Red-fronted brown lemur",NA,1,1,0,3
"0044","Red-fronted brown lemur","M",2,1,0,3
"0045","Red-fronted brown lemur","F",2,1,0,3
"0046","Eastern lesser bamboo lemur","M",NA,NA,1.5013698630137,12
"0047","Red ruffed lemur",NA,2,1,0,6
"0048","Red ruffed lemur",NA,2,1,0,6
"0049","Red ruffed lemur","M",NA,NA,NA,4
"0050","Fat-tailed dwarf lemur",NA,2,NA,0,11
"0051","Fat-tailed dwarf lemur",NA,2,NA,0,11
"0052","Potto",NA,1,1,0,4
"0053","Potto",NA,1,1,0,2
"0054","Northern greater galago",NA,1,1,0,11
"0055","Northern greater galago",NA,1,1,0,5
"0056","Northern greater galago",NA,1,1,0,6
"0057","Northern greater galago",NA,1,1,0,11
"0058","Northern greater galago",NA,1,1,0,5
"0059","Northern greater galago",NA,1,1,0,10
"0060","Northern greater galago",NA,1,1,0,3
"0061","Northern greater galago",NA,1,1,0,11
"0062","Northern greater galago",NA,1,1,0,7
"0063","Northern greater galago","M",1,1,0,8
"0064","Northern greater galago","F",1,1,0,5
"0065","Northern greater galago",NA,1,1,0.00273972602739726,7
"0066","Northern greater galago","M",1,1,0,3
"0067","Northern greater galago",NA,1,1,0,6
"0068","Northern greater galago",NA,1,1,0,11
"0069","Northern greater galago","M",1,1,0,10
"0070","Northern greater galago","M",NA,NA,NA,4
"0071","Northern greater galago",NA,1,1,0,9
"0072","Northern greater galago","M",NA,NA,NA,4
"0073","Northern greater galago",NA,1,1,0,7
"0074","Northern greater galago","M",1,1,0,12
"0086","Common brown lemur",NA,1,1,0,4
"0201","Northern greater galago","F",NA,NA,11.3424657534247,1
"0202","Northern greater galago","M",NA,NA,3.92876712328767,1
"0203","Northern greater galago","M",1,1,4.26849315068493,7
"0250","Northern greater galago","M",NA,NA,NA,8
"0251","Northern greater galago","F",NA,NA,2.90684931506849,8
"0252","Northern greater galago","F",NA,NA,2.67945205479452,8
"0253","Northern greater galago","M",NA,NA,NA,9
"0254","Northern greater galago","M",NA,NA,NA,9
"0255","Northern greater galago","M",NA,NA,3.11780821917808,9
"0256","Northern greater galago","F",NA,NA,0.671232876712329,9
"0257","Northern greater galago","F",NA,NA,2.32054794520548,9
"0258","Northern greater galago","F",NA,NA,NA,9
"0259","Northern greater galago","M",NA,NA,9.94520547945205,10
"0260","Northern greater galago","F",NA,NA,NA,10
"0261","Northern greater galago","M",NA,NA,NA,1
"0262","Northern greater galago","M",NA,NA,1.07671232876712,1
"0263","Northern greater galago","F",NA,NA,NA,1
"0264","Northern greater galago","F",NA,NA,NA,1
"0265","Northern greater galago","M",1,1,0.010958904109589,8
"0266","Northern greater galago","F",1,1,NA,12
"0267","Northern greater galago","M",1,1,NA,1
"0268","Northern greater galago","M",1,1,NA,5
"0269","Northern greater galago","M",1,1,NA,7
"0270","Northern greater galago","F",1,1,0.808219178082192,9
"0271","Northern greater galago","M",1,1,NA,5
"0272","Northern greater galago","F",1,1,NA,7
"0273","Northern greater galago","M",2,1,NA,3
"0274","Northern greater galago","M",2,1,NA,3
"0275","Northern greater galago","M",1,1,NA,7
"0276","Northern greater galago","M",2,1,0.00273972602739726,5
"0277","Northern greater galago","M",2,1,3.61917808219178,5
"0278","Northern greater galago","F",1,1,0.178082191780822,7
"0279","Northern greater galago","F",NA,NA,NA,1
"0280","Northern greater galago","F",NA,NA,3.5013698630137,1
"0281","Northern greater galago","M",NA,NA,NA,1
"0282","Northern greater galago","M",NA,1,NA,11
"0283","Northern greater galago",NA,1,1,0,7
"0401","Northern greater galago","F",NA,NA,NA,5
"0402","Northern greater galago","M",NA,1,5.19452054794521,9
"0403","Northern greater galago","F",NA,1,NA,9
"0404","Northern greater galago","F",NA,1,1.85205479452055,9
"0405","Northern greater galago","M",NA,NA,4.67945205479452,7
"0406","Northern greater galago","F",NA,NA,4.81095890410959,9
"0407","Northern greater galago","M",NA,NA,NA,7
"0408","Northern greater galago","F",NA,NA,6.21643835616438,9
"0409","Northern greater galago","M",NA,NA,NA,7
"0410","Northern greater galago","F",NA,NA,NA,9
"0411","Northern greater galago","F",1,1,4.39452054794521,3
"0412","Northern greater galago","F",1,1,2.93424657534247,4
"0413","Northern greater galago","M",1,1,NA,9
"0414","Northern greater galago","F",1,1,NA,9
"0415","Northern greater galago","M",1,1,NA,4
"0416","Northern greater galago","M",1,1,3.40547945205479,6
"0417","Northern greater galago","M",1,1,0.70958904109589,9
"0418","Northern greater galago","M",1,1,2.81095890410959,6
"0419","Northern greater galago","M",1,1,NA,6
"0420","Northern greater galago","F",1,1,NA,3
"0421","Northern greater galago","M",1,NA,1.44109589041096,6
"0422","Northern greater galago","M",1,1,NA,9
"0423","Northern greater galago","F",1,1,NA,12
"0424","Northern greater galago","M",1,1,0.0191780821917808,1
"0425","Northern greater galago","F",1,NA,NA,9
"0426","Northern greater galago","M",1,1,NA,9
"0427","Northern greater galago","F",1,NA,NA,3
"0428","Northern greater galago","M",1,1,0.189041095890411,5
"0429","Northern greater galago","F",1,1,NA,11
"0430","Northern greater galago","M",1,1,NA,8
"0431","Northern greater galago",NA,1,1,0,8
"0432","Northern greater galago","M",1,1,0,1
"0433","Northern greater galago",NA,2,1,0,3
"0434","Northern greater galago",NA,2,1,0,3
"0435","Northern greater galago","F",NA,NA,NA,11
"0436","Northern greater galago","F",NA,NA,NA,6
"0437","Northern greater galago","M",2,1,0,8
"0438","Northern greater galago","F",2,1,0,8
"0439","Northern greater galago","M",2,1,NA,10
"0440","Northern greater galago","M",2,1,0,10
"0441","Northern greater galago","M",1,1,NA,6
"0442","Northern greater galago","M",2,1,0,7
"0443","Northern greater galago","M",2,1,0.00273972602739726,7
"0444","Northern greater galago","M",2,1,NA,8
"0445","Northern greater galago","F",2,1,NA,8
"0446","Northern greater galago","F",NA,NA,6.30684931506849,12
"0447","Northern greater galago","M",NA,NA,NA,10
"0448","Northern greater galago","F",NA,NA,5.8,1
"0449","Northern greater galago","M",NA,NA,NA,10
"0450","Northern greater galago","F",NA,NA,NA,7
"0451","Northern greater galago","M",NA,1,NA,9
"0452","Northern greater galago","M",1,1,NA,4
"0453","Northern greater galago","M",NA,NA,NA,5
"0454","Northern greater galago","F",NA,1,NA,6
"0455","Northern greater galago","M",1,1,NA,7
"0456","Northern greater galago","F",NA,NA,NA,11
"0457","Northern greater galago",NA,1,1,0,8
"0458","Northern greater galago","M",NA,NA,NA,12
"0459","Northern greater galago","M",NA,NA,7.37534246575343,11
"0460","Northern greater galago","F",NA,NA,NA,8
"0461","Northern greater galago","F",NA,NA,3.63013698630137,8
"0462","Northern greater galago","F",NA,NA,NA,12
"0463","Northern greater galago","M",1,1,0.00273972602739726,6
"0464","Northern greater galago","M",NA,NA,15.1260273972603,6
"0465","Northern greater galago","M",NA,NA,NA,6
"0466","Northern greater galago","F",1,1,0,6
"0468","Northern greater galago","F",1,1,NA,10
"0469","Northern greater galago","M",NA,NA,NA,10
"0470","Northern greater galago","F",NA,NA,NA,10
"0471","Northern greater galago","M",NA,1,NA,7
"0472","Northern greater galago","M",1,1,NA,10
