"animal_id","sex","birth_type","litter_size","genus","species","mother_father_same","age","month_born"
"0004","M","captive",1,"O","GG",1,5.93972602739726,"Apr"
"0005","M","captive",1,"O","GG",1,15.4657534246575,"Aug"
"0006","F","captive",1,"O","GG",1,13.5890410958904,"Mar"
"0008","F","captive",1,"O","GG",1,5.37808219178082,"Jul"
"0009","M","captive",1,"O","GG",1,10.3808219178082,"Sep"
"0010","M","captive",1,"O","GG",1,13.4630136986301,"May"
"0011","M","captive",1,"O","GG",1,4.62191780821918,"Oct"
"0012","M","captive",1,"O","GG",1,3.59452054794521,"May"
"0013","M","captive",1,"O","GG",1,6.17260273972603,"Dec"
"0015","F","captive",1,"O","GG",1,6.3972602739726,"Jun"
"0016","F","captive",1,"O","GG",1,3.21095890410959,"May"
"0019","F","captive",1,"O","GG",NA,1.69315068493151,"Jul"
"0026","M","captive",1,"O","GG",NA,1.66575342465753,"Jun"
"0203","M","captive",1,"O","GG",1,4.26849315068493,"Jul"
"0277","M","captive",2,"O","GG",1,3.61917808219178,"May"
"0402","M","captive",NA,"O","GG",1,5.19452054794521,"Sep"
"0404","F","captive",NA,"O","GG",1,1.85205479452055,"Sep"
"0411","F","captive",1,"O","GG",1,4.39452054794521,"Mar"
"0412","F","captive",1,"O","GG",1,2.93424657534247,"Apr"
"0416","M","captive",1,"O","GG",1,3.40547945205479,"Jun"
"0418","M","captive",1,"O","GG",1,2.81095890410959,"Jun"
"0421","M","captive",1,"O","GG",NA,1.44109589041096,"Jun"
"0446","F","captive",NA,"O","GG",NA,6.30684931506849,"Dec"
"0448","F","captive",NA,"O","GG",NA,5.8,"Jan"
"0461","F","captive",NA,"O","GG",NA,3.63013698630137,"Aug"
"0478","F","captive",1,"O","GG",1,13.0109589041096,"Jun"
"1056","M","captive",NA,"G","MOH",NA,10.6602739726027,"Feb"
"1057","F","captive",NA,"G","MOH",NA,10.5041095890411,"Mar"
"1068","M","captive",NA,"G","MOH",NA,5.1041095890411,"Jan"
"1070","F","captive",NA,"G","MOH",NA,2.97808219178082,"Oct"
"1072","F","captive",NA,"G","MOH",NA,4.45753424657534,"Oct"
"1073","M","captive",2,"G","MOH",NA,5.04109589041096,"Sep"
"1303","M","captive",2,"H","GG",1,3.05753424657534,"Oct"
"1306","M","captive",1,"H","GG",1,3.45753424657534,"Jun"
"1307","F","captive",1,"H","GG",1,23.3972602739726,"Jun"
"1309","M","captive",NA,"H","GG",NA,10.1780821917808,"Apr"
"1310","M","captive",1,"H","GG",1,9.15890410958904,"May"
"1311","M","captive",1,"H","GG",1,14.7452054794521,"Jun"
"1316","M","captive",1,"H","GG",1,12.5616438356164,"Nov"
"1326","F","captive",1,"H","GG",1,1.11232876712329,"Jun"
"1327","M","captive",1,"H","GG",1,10.2821917808219,"Apr"
"1328","F","captive",1,"H","GG",1,12.013698630137,"Apr"
"1329","F","captive",1,"H","GG",1,6.0958904109589,"May"
