"animal_id","sex","genus","species","age","month_born"
"0002","M","O","GG",3.92876712328767,"Jan"
"0007","M","O","GG",7.54794520547945,"Jan"
"0030","F","E","COL",5.55068493150685,"Oct"
"0046","M","H","GG",1.5013698630137,"Dec"
"0202","M","O","GG",3.92876712328767,"Jan"
"0251","F","O","GG",2.90684931506849,"Aug"
"0252","F","O","GG",2.67945205479452,"Aug"
"0259","M","O","GG",9.94520547945205,"Oct"
"0405","M","O","GG",4.67945205479452,"Jul"
"0406","F","O","GG",4.81095890410959,"Sep"
"0408","F","O","GG",6.21643835616438,"Sep"
"0464","M","O","GG",15.1260273972603,"Jun"
"1077","F","G","MOH",2.0027397260274,"Mar"
"1078","M","G","MOH",7.09315068493151,"Mar"
"1079","F","G","MOH",8.46575342465753,"Mar"
"1080","M","G","MOH",5.18904109589041,"Mar"
"1081","F","G","MOH",4.5972602739726,"Mar"
"1082","M","G","MOH",4.91506849315068,"Mar"
"1083","F","G","MOH",4.82191780821918,"Mar"
"1084","M","G","MOH",4.82191780821918,"Mar"
"1089","M","G","MOH",6.21095890410959,"Mar"
"1091","M","G","MOH",7.04657534246575,"Mar"
"1195","F","E","MON",15.4630136986301,"Oct"
"1300","M","H","GG",9.86575342465753,"Dec"
"1301","F","H","GG",6.07397260273973,"Dec"
"1302","F","H","GG",9.99178082191781,"Dec"
"1312","M","H","GG",18.5205479452055,"Dec"
"1313","F","H","GG",20.7123287671233,"Dec"
"1314","F","H","GG",3.3041095890411,"Dec"
"1315","F","H","GG",13.1780821917808,"Dec"
"1317","F","H","GG",1.95342465753425,"Dec"
"1318","M","H","GG",13.0493150684932,"Dec"
"1322","F","H","GG",9.77534246575343,"Dec"
"1323","F","H","GG",1.75342465753425,"Dec"
"1324","M","H","GG",23.0301369863014,"Dec"
"1501","M","V","VV",39.386301369863,"Oct"
"1504","M","V","RUB",7.86027397260274,"Oct"
"1925","M","N","PYG",6.48493150684931,"Apr"
"1926","F","N","PYG",7.10684931506849,"Apr"
"1927","M","N","PYG",15.0246575342466,"Apr"
"1928","F","N","PYG",9.04109589041096,"Apr"
"1929","M","N","PYG",11.1616438356164,"Apr"
"1930","F","N","PYG",15.5397260273973,"Apr"
"1931","F","N","PYG",5.12328767123288,"Apr"
"1932","M","N","PYG",14.3013698630137,"Apr"
"1949","M","N","COU",15.8356164383562,"Jan"
"1991","F","N","PYG",18.5506849315069,"Jun"
"2000","M","G","MOH",7.72328767123288,"Jan"
"2001","F","G","MOH",5.31506849315068,"Jan"
"2003","F","G","MOH",3.35068493150685,"Jan"
"2006","F","G","MOH",6.77808219178082,"Jan"
"2007","M","G","MOH",6.76164383561644,"Jan"
"2010","F","G","MOH",3.24383561643836,"Jan"
"2013","F","G","MOH",5.36438356164384,"Jan"
"2014","F","G","MOH",6.26575342465753,"Jan"
"2015","F","G","MOH",5.9013698630137,"Jan"
"2016","F","G","MOH",5.9013698630137,"Jan"
"2018","F","G","MOH",7.14794520547945,"Jan"
"2923","F","N","PYG",19.8931506849315,"Dec"
"2926","M","N","PYG",9.6958904109589,"Jul"
"300","M","G","MOH",3.4,"Aug"
"300-A","F","G","MOH",2.81369863013699,"Aug"
"315","M","M","ZAZ",17.9561643835616,"Aug"
"316","F","M","ZAZ",5.61095890410959,"Aug"
"317","M","M","ZAZ",7.09315068493151,"Aug"
"318","F","M","ZAZ",19.972602739726,"Aug"
"319","M","M","ZAZ",16.0876712328767,"Aug"
"320","F","M","ZAZ",4.6027397260274,"Aug"
"3531","M","E","COL",18.1260273972603,"Oct"
"4501","M","V","VV",14.0657534246575,"Oct"
"4502","F","E","RUF",17.1753424657534,"Oct"
"4503","M","E","RUF",15.0931506849315,"Oct"
"4505","F","E","MON",3.83561643835616,"Oct"
"4519","F","E","MON",13.0904109589041,"Oct"
"4585","M","E","FUL",21.0876712328767,"Oct"
"4590","M","V","RUB",26.8575342465753,"Oct"
"4593","M","E","ALB",2.84931506849315,"Jun"
"4594","F","E","ALB",16.0849315068493,"Oct"
"4597","F","E","RUB",16.2328767123288,"Oct"
